cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
unknown,NASHVILLE FLIGHT TRAINING,,Nashville,TN,unknown,small,flight-school-with-maintenance,Small GA – piston aircraft,none,none found,"Located at 801 Hangar Ln Nashville TN 37217 (BNA area). Not found in TN FAA raw data under this name. Primarily a flight school; any Part 145 cert likely limited scope for GA inspection/maintenance. No standalone website found."
unknown,TRI STAR AVIATION,,Alcoa,TN,unknown,unknown,unknown,Unknown,none,none found,"No Part 145 cert found in TN FAA raw data for Alcoa under this name. Note: tri-staraviation.com is a La Porte TX company (different entity). Alcoa TN is adjacent to McGhee Tyson Airport (KTYS). TN raw data shows HORIZON AVIONICS (F3OR150X) in Alcoa. Possible confusion with another company."
unknown,SE AVIATION,,Tullahoma,TN,unknown,small,unknown,Unknown,none,none found,"Tullahoma TN (KTUL airport). Not found in TN FAA raw data under 'SE Aviation'. Closest match in data: XP SERVICES INC (cert 8TAR202C) in Tullahoma, phone 931-392-4444. May be operating under a different legal name. No web presence found."
AE0R215N,AERO TURBINE INC (StandardAero Alliance),,Maryville,TN,https://www.standardaero.com,large,turbine-engine-overhaul,"Military/commercial turbines: GE, Honeywell, P&W, Allison, Teledyne Continental, Turbomeca – 20+ engine models",high,none found,"FAA cert AE0R215N held by STANDARD AERO (ALLIANCE) INC in Maryville TN. Acquired by StandardAero. sourcehere.com documents Aero Turbine offering complete overhaul/repair/testing on 20+ turbine models. LinkedIn: 2,069 followers. Large operation, enterprise-level – not a primary Athelon target but worth noting."
unknown,NASHVILLE JET CENTER,,Nashville,TN,unknown,small,unknown,Business jets (implied),none,none found,"No Part 145 cert found in TN FAA raw data under this name. No web presence found. May be a small FBO-attached maintenance shop or DBA of another entity."
3WTR399B,"WEST STAR AVIATION, LLC",WEST STAR AVIATION,Chattanooga,TN,https://www.weststaraviation.com,large,full-service-mro,"Business jets: maintenance, avionics, paint, interior, engines/APU – all major OEM types",high,CORRIDOR - CONFIRMED (listed in Corridor customer list; Corridor AI Operations Manager partnership announced Oct 2025),"NOTE: Task listed Murfreesboro but FAA cert 3WTR399B is in Chattanooga TN (CHA airport). 153,000+ sq ft facility. Part of West Star network with 500+ employees across 10+ locations. Corridor is confirmed ERP. Not an Athelon target – enterprise-level existing Corridor customer."
VIB3368K,STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,,Smyrna,TN,https://stevensaerospace.com,large,full-service-mro,"King Air turboprops, Citation, Embraer, Challenger, Gulfstream; military aircraft",high,CORRIDOR - CONFIRMED (case study on blog.corridor.aero; Corridor ServiceEdge customer portal announced 2020; featured as 'Next Gen Service Center'),"NOTE: Listed as 'Stevens Aviation Nashville' – actual legal name is Stevens Aerospace and Defense Systems LLC; Nashville facility is at Smyrna Airport KMQY. Multi-location: Greenville SC, Dayton OH, Smyrna TN, Macon GA. Corridor ERP confirmed – existing customer, not an Athelon target."
unknown,CIMBER AVIATION SERVICES,,Nashville,TN,unknown,small,unknown,Unknown,none,none found,"No Part 145 cert found in TN FAA raw data under this name. No web presence discovered. Possibly a very small shop, defunct, or operating under a different legal name. Manual FAA lookup recommended."
unknown,TENNESSEE AIRCRAFT SOLUTIONS,,Smyrna,TN,unknown,small,unknown,Unknown,none,none found,"No Part 145 cert found in TN FAA raw data for Smyrna under this name. Smyrna/MQY airport has multiple MRO shops (Stevens Aerospace, Nitetrain Aviation, AMI Aviation, AeroMech). Tennessee Aircraft Solutions may be a newer or DBA entity not yet captured in registry."
unknown,JET TURBINE SERVICES,,Shelbyville,TN,unknown,small,turbine-engine-repair,"Turbine engines (implied by name)",none,none found,"No Part 145 cert found in TN FAA raw data for Shelbyville under this name. Note: TN data shows PATRIOT AVIONICS LLC (cert PA6R700E) in Shelbyville. Jet Turbine Services likely a separate entity – no web presence found. Manual FAA registry lookup recommended."
