entity_id,legal_name,dba_name,street,city,state,zip,phone,email,website,cert_no,part145_indicator,certificate_hints,shop_size_class,aircraft_worked_on,airport_proximity_profile,nearest_airport_name,nearest_airport_icao,observability_score,observability_score_method,profile_archetype,overall_confidence,identity_ambiguity_flag,provenance_legal_name,provenance_part145,provenance_shop_size_class,provenance_aircraft_worked_on,provenance_airport_proximity_profile,provenance_observability_score,source_refs
3DOR530B,CAE USA INC,,1 WILLIAM WHITE BOULEVARD SUITE 100,PUEBLO,CO,81001,,,,3DOR530B,yes,Cert 3DOR530B; Designator 3DOR,,,near-airport,Pueblo Memorial Airport,KPUB,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
DYHR613K,CENTENNIAL AIRCRAFT INTERIORS CORPORATION,,7405 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,3036499296,,,DYHR613K,yes,Cert DYHR613K; Designator DYHR,,,near-airport,Centennial Airport,KAPA,0.30,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
5LBR346D,CENTRI-LUBE TECHNOLOGIES LLC,,5212 CESSNA DR.,LOVELAND,CO,80538,9702183758,,,5LBR346D,yes,Cert 5LBR346D; Designator 5LBR,,,on-airport,Northern Colorado Regional Airport,KFNL,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
PN5R125N,CENTURY HELICOPTERS INC,,2001 AIRWAY AVENUE,FORT COLLINS,CO,80524,9704846804,philip.glasgow@centuryhelicopters.com,,PN5R125N,yes,Cert PN5R125N; Designator PN5R,,,on-airport,Northern Colorado Regional Airport,KFNL,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
HA6R580N,COLORADO AIRWORKS LLC,,7312 BELL DR.,COLORADO SPRINGS,CO,80920,,,,HA6R580N,yes,Cert HA6R580N; Designator HA6R,,,near-airport,City of Colorado Springs Municipal Airport,KCOS,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
CUTR877D,CUTTER AVIATION DENVER CO-APA,,12260 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037999999,,,CUTR877D,yes,Cert CUTR877D; Designator CUTR,small,avionics_line_service;avionics_installation;cj2_upgrade,on-airport,Centennial Airport,KAPA,0.65,team-b:OUTPUT.csv(web_observability_confidence),avionics_heavy_satellite,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-b:OUTPUT.csv(web_observability_confidence),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S7;S8
4JDR353D,D & J AVIATION INC,,1945 AVIATION WAY,COLORADO SPRINGS,CO,80916,7196591017,jim.schwab@djaviation.aero,,4JDR353D,yes,Cert 4JDR353D; Designator 4JDR,,,on-airport,City of Colorado Springs Municipal Airport,KCOS,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
GL6R565N,DENVER HOT AIR REPAIR,DBA A DIVISION OF OF DEKOEVEND ENTERPRISES C.,24201 M-5 RD,SAN LUIS,CO,81152,7207373534,terrysm@earthlink.net,,GL6R565N,yes,Cert GL6R565N; Designator GL6R,small,avionics_line_service;avionics_installation;cj2_upgrade,near-airport,San Luis Valley Regional Airport,KALS,0.38,team-d:OUTPUT.csv(observability_score),avionics_heavy_satellite,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S7;S8;team-d-observability/OUTPUT.csv
GM6R566N,DEPOT AVIONICS INC,,2550 STATE AVENUE,ALAMOSA,CO,81101,7195896777,ashleyv@depotavionics.com,,GM6R566N,yes,Cert GM6R566N; Designator GM6R,,,near-airport,San Luis Valley Regional Airport,KALS,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
FMSR378E,DIRECT MX AVIATION LLC,,"8551 AVIATOR LN, STE D.",ENGLEWOOD,CO,80112,,,,FMSR378E,yes,Cert FMSR378E; Designator FMSR,,,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
6DNR881C,DNT AVIONICS,,2845 AVIATORS WAY,GRAND JUNCTION,CO,81506,9702438890,dntpins_313@yahoo.com,,6DNR881C,yes,Cert 6DNR881C; Designator 6DNR,,,on-airport,Grand Junction Regional Airport,KGJT,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
K4LR032E,ELEVATE MRO,DBA ELEVATE MRO,9586 METRO AIRPORT AVENUE HANGAR E,BROOMFIELD,CO,80021,7208001612,sam.sandifer@elevate-mro.com,,K4LR032E,yes,Cert K4LR032E; Designator K4LR,medium,gulfstream;hawker;dassault;bombardier;hondajet;textron;turbine_fixed_wing,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.38,team-d:OUTPUT.csv(observability_score),full_service_mro,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S3;team-d-observability/OUTPUT.csv
FDBR221K,FREEDOM AVIONICS,DBA AERO PROP USA DBA FREEDOM AIR AVIONICS,11905 CORPORATE WAY ROCKY MOUNTAIN METRO AIRPORT,BROOMFIELD,CO,80021,,,,FDBR221K,yes,Cert FDBR221K; Designator FDBR,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
F42R979Y,FRONT RANGE TRANSPONDER SERVICE,DBA MOUNTAIN AIR AVIATION,11750 AIRPORT WAY HANGAR B-12-D,BROOMFIELD,CO,80021,3034691380,gb3maa@gmail.com,,F42R979Y,yes,Cert F42R979Y; Designator F42R,,,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
7GSR084O,"GLOBAL SUPERTANKER AVIATION, LLC.",,9101 KENYON AVENUE,DENVER,CO,80237,,,,7GSR084O,yes,Cert 7GSR084O; Designator 7GSR,,,near-airport,Denver International Airport,KDEN,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
GO2R846D,"GOGO BUSINESS AVIATION, LLC",DBA GOGO FLIGHT SERVICES,105 EDGEVIEW DRIVE SUITE 300,BROOMFIELD,CO,80021,3033013441,,,GO2R846D,yes,Cert GO2R846D; Designator GO2R,medium,aircraft_under_12500lbs;metal_airframe;composite_airframe;avionics,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.85,team-b:OUTPUT.csv(web_observability_confidence),airframe_restoration_specialist,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-b:OUTPUT.csv(web_observability_confidence),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S5
X8CR828N,"GOGO BUSINESS AVIATION, LLC.",,105 EDGEVIEW DRIVE SUITE 300,BROOMFIELD,CO,80021,3033013200,connect@gogoair.com,,X8CR828N,yes,Cert X8CR828N; Designator X8CR,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
HRSR322E,HAYES AVIATION RS,,1201 N. CEDAR AVE. BLDG 14,AKRON,CO,80720,,,,HRSR322E,yes,Cert HRSR322E; Designator HRSR,,,near-airport,Colorado Plains Regional Airport,KAKO,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
VX3R935L,HELIARC WELDING SERVICE,,3965 NEWPORT STREET,DENVER,CO,80207,3033552080,,,VX3R935L,yes,Cert VX3R935L; Designator VX3R,,,near-airport,Denver International Airport,KDEN,0.30,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
9HQR621C,HQ HELIWORKS LLC,,11915 AIRPORT WAY # 6,BROOMFIELD,CO,80021,,,,9HQR621C,yes,Cert 9HQR621C; Designator 9HQR,,,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
FS6R104E,"INTERMOUNTAIN TESTING COMPANY, LLC",,2965 S. SHOSHONE STREET,ENGLEWOOD,CO,80110,3037610650,joe@intermountaintesting.com,,FS6R104E,yes,Cert FS6R104E; Designator FS6R,,,near-airport,Centennial Airport,KAPA,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
IG0R976N,"INTERNATIONAL GOVERNOR SERVICES, LLC",DBA STANDARDAERO COMPONENT SERVICES,7290 WEST 118TH PLACE,BROOMFIELD,CO,80020,,maintenance@securityaviation.biz,,IG0R976N,yes,Cert IG0R976N; Designator IG0R,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ZYJR157B,JETTECH LLC,,10122 AIRPORT COURT,BROOMFIELD,CO,80021,3036974262,rob@jettechllc.net,,ZYJR157B,yes,Cert ZYJR157B; Designator ZYJR,,,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
KY7R882H,KEY LIME AIR CORPORATION,DBA DENVER AIR CONNECTION,13252 E. CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,,,,KY7R882H,yes,Cert KY7R882H; Designator KY7R,small,avionics_line_service;avionics_installation;cj2_upgrade,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),avionics_heavy_satellite,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S7;S8;team-d-observability/OUTPUT.csv
76YR726D,LEGACY AIR,,11905 CORPORATE WAY,BROOMFIELD,CO,80021,3034040277,rick@legacy-air.com,,76YR726D,yes,Cert 76YR726D; Designator 76YR,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
LCBR329X,LIFE CYCLE BALLOON REPAIR,,15862 DUQUESNE CIRCLE,BRIGHTON,CO,80603,3032161990,michael@lifecycleballoons.com,,LCBR329X,yes,Cert LCBR329X; Designator LCBR,,,near-airport,Colorado Air and Space Port,KCFO,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
MQWR059K,M E K LTD,DBA GRANITE MOUNTAIN REPAIR,5454 ALTEZA DR.,COLORADO SPRINGS,CO,80917,,,,MQWR059K,yes,Cert MQWR059K; Designator MQWR,,,near-airport,City of Colorado Springs Municipal Airport,KCOS,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
T3RR881N,MEEKER AIRPORT INC,DBA TRISTAR AVIATION,921 EAST MARKET STREET,MEEKER,CO,81641,9702551501,lancecoulter@hotmail.com,,T3RR881N,yes,Cert T3RR881N; Designator T3RR,,,on-airport,Meeker Airport,KEEO,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
