Accountable Manager,Accountable Manager Email,Accountable Manager Phone Number,Address Line 1,Address Line 2,Address Line 3,Agency Email,Agency Name,Agency Phone Number,Cert_No,City,Country ,DBA,DSGN_CODE,Email,Liaison,Liaison Email,Liaison Phone Number,Postal Code,State/Province,Update_Date
"AARON HARDIN,",,,1924 BOSTON ROAD,,,aaron.hardin@gmail.com,H AND S AVIONICS INC,5025101981,V4HR991Y,BARDSTOWN,UNITED STATES,,V4HR,aaron.hardin@gmail.com,"HARDIN, AARON",,5025101981,40004,KY,3/2/2026
"ABAD, LINO A.",,,1917 NW 135TH AVE,,,,POWER AVIATION SOLUTIONS LLC,7862471063,19WR307D,MIAMI,UNITED STATES,,19WR,,LINO ABAD,poweraviationsolutions@gmail.com,,33182,FL,3/2/2026
"ABBATE, LUCA",,,WAREHOUSE NO AC6-ASC-B2-10-(W)-18,DUBAI AVIATION CITY,,,JET FLIGHT SERVICE DWC-LLC,+971 4 221 005,JFLY411E,DUBAI,UNITED ARAB EMIRATES,,JFLY,,"SHEDIN, ANDREI",info@jetflightservice.ae,,,,3/2/2026
"ABDALLA, MOSTAFA",,,1810 SOUTH LYNHURST DRIVE SUITE C&D,,,,"AEROREPAIR, CORP.",,R6CD725J,INDIANAPOLIS,UNITED STATES,,R6CD,,JUSTIN MOFFETT,jmoffett@aerorepaircorp.com,3179696241,46241,IN,3/2/2026
"ABDELGAWAD, MOHAMED SAMIR",,,NIKOLA TESLA AIRPORT,11180 BELGRADE 59,,me-manager@jat-tech.rs,JAT TEHNIKA D.O.O. BELGRADE,+381 112676968,YSMY254J,BELGRADE,SERBIA,,YSMY,me-manager@jat-tech.rs,FERDINAND ABEJARON,ferdinand.abejaron@jat-tech.rs,,11180,,3/2/2026
"ABDULSHAFI, AJ",,,1601 W 5TH STREET,,,aj@anodeavionics.com,SHAFI ENTERPRISES LLC,6147389312,SFER859D,OXNARD,UNITED STATES,DBA ANODE AVIONICS,SFER,aj@anodeavionics.com,AHMED JASON ABULSHAFI,aj@anodeavionics.com,6147389312,93030,CA,3/2/2026
"ABENDROTH, MARCUS",,,7 AERO PLAZA,HANGAR 5B,,,AVCON INDUSTRIES INC,3162842842,B922922N,NEW CENTURY,UNITED STATES,,B922,,,,,66031,KS,3/2/2026
"ABKARIAN, ZAREH",,,17419 BLACKHAWK ST.,,,,AVIATION OPTICS INC,,AOOR364E,GRANADA HILLS,UNITED STATES,,AOOR,,ZAREH ABKARIAN,zabkarian@hotmail.com,,91344,CA,3/2/2026
"ABNEY, JOSEPH",,,APEX AVIATION INC.,1410 JET STREAM DR. HANGAR SUITE 16,,,APEX AVIATION INC,,9VNR950B,HENDERSON,UNITED STATES,,9VNR,,,,,89052,NV,3/2/2026
"ABNEY, TIMOTHY LEE",,,106A OAK STREET,,,,ABNEY AIRCRAFT PROPELLER LLC,,8NYR411D,CROSSETT,UNITED STATES,,8NYR,,TIMOTHY ABNEY,abneyaircraftpropeller@outlook.com,,71635,AR,3/2/2026
"ABRAMS, MARC J.",,,2634 N.E. 9TH AVENUE,UNIT 5,,capeaero@aol.com,CAPE AEROSPACE REPAIR SERVICES INC,2397729372,L35R159Y,CAPE CORAL,UNITED STATES,,L35R,capeaero@aol.com,"ABRAMS, MARC J.",,2397729372,33909,FL,3/2/2026
"ABU, BAKAR",,,18 LOYANG LANE,LOYANG INDUSTRIAL ESTATE,,rcsingapore@rockwellcollins.com,ROCKWELL COLLINS SOUTHEAST ASIA PTE. LTD.,6590171606,R5CY955J,SINGAPORE,SINGAPORE,,R5CY,rcsingapore@rockwellcollins.com,"YEO, PETER",ching. yeo@collins.com,,508918,,3/2/2026
"ACEVEDO, JUAN",,,13375 SW 128TH STREET,UNIT 108,,admin@avindt.com,AVI NDT INC,7864789901,92AR300C,MIAMI,UNITED STATES,,92AR,admin@avindt.com,"ACEVEDO, SANDY",juan.acevedo@avindt.com,7864789901,33186,FL,3/2/2026
"ACHENBACH, KEITH",,,22800 MCAULIFFE DRIVE,,,richpetty@aencservices.com,AE AND C SERVICES LLC,2519463300,QACR366X,ROBERTSDALE,UNITED STATES,,QACR,richpetty@aencservices.com,"GRAHAM, KEN",kgraham@aencservices.com,2519463300,36567,AL,3/2/2026
"ACIEGO, SARAH",,,508 LV SELZ RD,,,,ARCUS AERO LLC,3073882288,ARAR126E,BRIDGEPORT,UNITED STATES,,ARAR,,SARAH ACIEGO,aciego@gmail.com,3073882288,76426,TX,3/2/2026
"ADAMSSON, NIKLAS",,,TALLBACKSGATAN 14,,,,ENVIROTAINER ENGINEERING AB,,8ENY944C,ROSERSBERG,SWEDEN,,8ENY,,,,,S-195 72,,3/2/2026
"ADANTI, TIM B",,,1727 SOUTH MAIN STREET,,,tim.b.adanti@lmco.com,SIKORSKY AIRCRAFT CORPORATION,9724566900,RW1R467K,DALLAS,UNITED STATES,DBA NONE,RW1R,tim.b.adanti@lmco.com,KEVIN LIGHT,kevin.light@lmco.com,9724567104,75261,TX,3/2/2026
"ADANTI, TIMOTHY B",,,33 PLATT ROAD,,,,SIKORSKY AIRCRAFT CORPORATION OVERHAUL AND REPAIR,,AA1R001K,SHELTON,UNITED STATES,,AA1R,,DANIEL BARTL,daniel.e.bartl@lmco.com,,06484,CT,3/2/2026
"AGEE, JAMES GERARD",,,1200 SOUTH MAPLE ST.,,,jima@pasmro.com,PAS MRO INC,9187714361,5POR020C,BRISTOW,UNITED STATES,,5POR,jima@pasmro.com,"AGEE, JAMES GERALD",jima@pasmro.com,7142402234 EXT. 223,74010,OK,3/2/2026
"AGNOR, ASA",,,1302 NORTH PERIMETER ROAD,,,,BIG SKY AVIATION INC,,4BIR824C,WEST PALM BEACH,UNITED STATES,,4BIR,,ASA AGNOR,asa@agnortac.com,5616154033,33406,FL,3/2/2026
"AGNOR, ASA A.",,,1461 GENERAL AVIATION DRIVE,,,asa@agnortac.com,RAPHAEL AVIATION SERVICES LLC,3216146972,RA1R822D,MELBOURNE,UNITED STATES,,RA1R,asa@agnortac.com,,asa@agnortac.com,3216146972,32935,FL,3/2/2026
"AGUILAR GRIEDER, CRISTINA",,,38 AVENUE JEAN MONNET,,,,AIRBUS OPERATIONS SAS,,6BUY061C,COLOMIERS,FRANCE,DBA AIRBUS SAS,6BUY,,"BEACALL, IAN",ian.beacall@airbus.com,,31770,,3/2/2026
"AGUILAR, CHARLES M II",,,"WAREHOUSE 1B BERTHAPHIL IV, CIVIL A",A. BONIFACIO AVE,,,"CHARLES AEROSPACE INDUSTRIES, INC",,81BY429D,CLARK FREEPORT ZONE,PHILIPPINES,,81BY,,RENELL P. VALDEZTAMON,rvaldeztamon@charles-aeroindustries.com,,2023,,3/2/2026
"AGUILERA, FRANCISCO",,,1310 INDUSTRY STREET,SUITE 100,,,BUCHER AEROSPACE CORPORATION,,1BSR390B,EVERETT,UNITED STATES,,1BSR,,ANNIE CHAWLA,ach@bucheraero.com,,98203,WA,3/2/2026
"AGUIRRE, JAIME",,,CESAR LAVIN TORO 2198,AEROPUERTO INTERNACIONAL ARTURO MER,,,LATAM AIRLINES GROUP S.A.,,LANY474J,SANTIAGO,CHILE,,LANY,,,,,,,3/2/2026
"AHERN, WILLIAM JOSEPH JR",,,4831 W. ROYAL LANE,SUITE A,,williams.ahern@stslm.com,AIRLINE TECH REPS LLC,8179942191,Q6TR841X,IRVING,UNITED STATES,DBA STS LINE MAINTENANCE,Q6TR,williams.ahern@stslm.com,WILLIAM J. AHERN JR.,william.ahern@stslm.com,4705992265,75063,TX,3/2/2026
"AHMAD, SYED AJAZ",,,9661 TRADEPORT DRIVE,,,ajaz.a@floridaflightinc.com,FLORIDA FLIGHT INC,4074386615,F04R885X,ORLANDO,UNITED STATES,,F04R,ajaz.a@floridaflightinc.com,"AHMAD, SYED AJAZ",ajaz.a@floridaflightinc.com,4074386615,32827,FL,3/2/2026
"AIKENS, GEORGE",,,631 BUSS AVE.,,,,ADVANCED AEROTECHNOLOGIES GROUP LLC,9705900906,27OD157C,GREELEY,UNITED STATES,,27OD,,GEORGE AIKENS,info@advancedaerotech.com,,80631,CO,3/2/2026
"AIKENS, GEORGE ALBERT",,,3965 COOK HANGAR LANE,,,info@advancedaerotech.com,"ADVANCED AEROTECHNOLOGIES GROUP,  L.L.C.",9705900906,27OR157C,RAPID CITY,UNITED STATES,,27OR,info@advancedaerotech.com,"AIKENS, GEORGE A.",info@advancederotech.com,9705900906,57703,SD,3/2/2026
"AKBULUT, MIKAIL",,,SABIHA GOKCEN INTERNATIONAL AIRPORT,PENDIK,,,T RK HAVA YOLLARI TEKNIK A.S.,+90 212468 7080,TQKY144F,ISTANBUL,TURKIYE,"DBA TURKISH TECHNIC
DBA TURKISH AIRLINES TECHNIC",TQKY,,"GOKMEN, ZEYNEP",zzumrutgokmen@thy.com,902124650,34912,,3/2/2026
"AKKAOUI, MICHAEL A.",,,6 NEW ENGLAND WAY,,,matanury@aol.com,TANURY INDUSTRIES,4013339400,UUYR063Y,LINCOLN,UNITED STATES,,UUYR,matanury@aol.com,"MICHAEL, AKKAOUI",michael@tanury.com,4013339400,02865,RI,3/2/2026
"AL-HILAL, MOHD",,,AL-AREESH STREET,RAS ABU ABOUD ROAD,,,GULF HELICOPTERS COMPANY,97444333852,GQ0Y707Y,DOHA,QATAR,,GQ0Y,,"KANDILAKIS, MARKOS",markos.kandilakis@gulfhelicopters.com,,.,,3/2/2026
"AL-THANI, BIN HAMAD",,,QATAR AERONAUTICAL ACADEMY,DOHA INTERNATIONAL AIRPORT,,,QATAR AERONAUTICAL ACADEMY,+ 974 44408877,5QAY967C,DOHA,QATAR,,5QAY,,OSAMA SAAD,osamaa@qaa.edu.qa,,.,,3/2/2026
"ALANAIZI, ABDULLAH NJTH",,,MARRAKESH MENARA AIRPORT,,,,QSA AERONAUTICAL ENGINEERING SERVICES,,QSAY893D,MARRAKESH,MOROCCO,,QSAY,,"FISCHER, EDMUND",qsa.admin@qsa.international,,,,3/2/2026
"ALARY, JEAN-PAUL",,,2 BOULEVARD DU GENERAL MARTIAL VALI,,,,SAFRAN AIRCRAFT ENGINES,,NM1Y353K,PARIS,FRANCE,,NM1Y,,"DELANGUE, NATHALIE",nathalie.delangue@safrangroup.com,,75015,,3/2/2026
"ALDRIEDGE, SAM T.",,,300 COUNTY ROAD 286,,,,FREEDOM PROPULSION INC,,FDMR086E,COLLINSVILLE,UNITED STATES,,FDMR,,SAM T. ALDRIEDGE,saldriedge@fpi-global.com,8172199334,76233,TX,3/2/2026
"ALECIO, JULIO CESAR",,,777 AVIATION DRIVE,,,,"ORBIC HELICOPTERS SALES AND SERVICE AT CAMARILLO,",,OH9R298H,CAMARILLO,UNITED STATES,,OH9R,,"ALECIO, JULIO",orbicmx@gmail.com,8053891070,93010,CA,3/2/2026
"ALEMAN, HUMBERTO",,,2549 NW 74TH AVENUE,,,,AOG TECHNICK LLC,,XB4R642M,MIAMI,UNITED STATES,DBA AOG ACCESSORIES,XB4R,,"ALFONSO, OJEDA",aojeda@aogaccessories.com,3055911899,33122,FL,3/2/2026
"ALEMAN, NUNO",,,RUA DOS SELOES,TERRUGEM PARK II - A3,,,"KLEENPLUS - PRODUTOS PARA LIMPEZA UNIPESSOAL, LDA",,5KPY329D,TERRUGEM,PORTUGAL,,5KPY,,JOSE CARLOS GODINHO MORENO,jmoreno@biomexaero.com,,2706 - 501,,3/2/2026
"ALEMAN, OMAR",,,2588-A INDUSTRY WAY,,,,METAL IMPROVEMENT COMPANY,3235631533,ZF3R022M,LYNWOOD,UNITED STATES,,ZF3R,,OMAR ALEMAN,omar.aleman@cwst.com,3235631533,90262,CA,3/2/2026
"ALEXANDER, BARRY",,,15 AIRPORT DRIVE,,,,"HORIZON AIRCRAFT SERVICES, LLC",,2HJR950C,NORTH WINDHAM,UNITED STATES,,2HJR,,BARRY A. ALEXANDER,balexander@aquilinedrones.com,,06256,CT,3/2/2026
"ALEXANDER, SOPHIA",,,5445 OLD DIXIE HIGHWAY,SUITE 200,,,FELLFAB CORPORATION,,F5FR966J,FOREST PARK,UNITED STATES,,F5FR,,SOPHIA ALEXANDER,sophia.alexander@fellfab.com,4043638905 EXT. 440,30297,GA,3/2/2026
"ALFRED, JOSEPH TIMOTHY",,,685 CONDOR DRIVE,STEVENS FIELD,,,AVTRONICS INC,,3AXR823B,PAGOSA SPRINGS,UNITED STATES,,3AXR,,"ALFRED, JOSEPH T",jtskyknight@yahoo.com,9707313250,81147,CO,3/2/2026
"ALI, SYED",,,4301 EMPIRE AVENUE,,,,JET AVIATION FLIGHT SERVICES INC,,ABFR012C,BURBANK,UNITED STATES,,ABFR,,SYED IMAD ALI,syed.ali@jetaviation.com,7472911500,91505,CA,3/2/2026
"ALICANDRO, MARK B",,,2695 NW 56TH STREET,HANGER 53 A,,,TROPIC RADIO INC,,RZ4R510M,FORT LAUDERDALE,UNITED STATES,,RZ4R,,"ALICANDRO, MARK",sales@tropicradio.com,,33309,FL,3/2/2026
"ALLAIN, LIONEL",,,AERODROME DE DINAN TRELIVAN,,,l.allain@sibavionique.com,SOCIETE NOUVELLE SIBA,33 0 296 850 864,36SY413C,TRELIVAN,FRANCE,,36SY,l.allain@sibavionique.com,THIERRY CHAMARD,thierry.chamard@orange.fr,,22100,,3/2/2026
"ALLDRITT, JUSTIN",,,9050 W. MONROE CIRCLE,,,,MILLENNIUM CONCEPTS INC,,7MCR619B,WICHITA,UNITED STATES,,7MCR,,JUSTIN ALLDRITT,jalldritt@millennium.aero,3168219300,67209,KS,3/2/2026
"ALLEN, JOSEPH",,,5640 ENTERPRISE DRIVE,,,daniel.faurie@prattwhitney.com,"PRATT & WHITNEY AUTOAIR, INC",5173934040,QZAR320L,LANSING,UNITED STATES,,QZAR,daniel.faurie@prattwhitney.com,"ALLEN, JOE",joe.allen@prattwhitney.com,5173934040,48911,MI,3/2/2026
"ALLEN, RICK",,,1714-16 CARROLLTON AVENUE,,,,HICKOK WAEKON LLC,,JG4R283M,GREENWOOD,UNITED STATES,,JG4R,,HEATHER ROBERTSON,hrobertson@hickokwaekon.com,6624536212 EXT. 119,38930,MS,3/2/2026
"ALLRED, NATHAN",,,3673 RICKENBACKER STREET,,,none,CONYAN AVIATION INC,,GBBR155E,BOISE,UNITED STATES,DBA JACKSON JET CENTER,GBBR,none,"ALLRED, NATHAN",nathan.allred@jacksonjet.com,2082410202,83705,ID,3/2/2026
"ALOE, NICOLA",,,ROUTE DE MONCOR 4,,,nicola.aloe@ch.meggitt.com,MEGGITT SA,+41 26 407 1343,VM8Y694J,VILLARS-SUR-GLÂNE,SWITZERLAND,,VM8Y,nicola.aloe@ch.meggitt.com,SORAYA BARJ,soraya.barj@ch.meggitt.com,,CH-1752,,3/2/2026
"ALONSO, JULIO C JR.",,,"1925 SOUTH PERIMETER ROAD, SUITE 12",,,,TIGHT FLIGHT INC,,J82R320Y,FORT LAUDERDALE,UNITED STATES,,J82R,,"ALONSO, JULIO C. , JR.",tightflight24@gmail.com,7862811107,33309,FL,3/2/2026
"ALTNAU, STEVEN",,,4984 S. HOWELL AVE.,,,,"AIR CARGO CARRIERS, LLC",,M7IR960J,MILWAUKEE,UNITED STATES,"DBA MILWAUKEE AVIONICS AND
   AND INSTRUMENTS",M7IR,,JAMES ZDROIK,james.zdroik@aircar.com,4144821711 EXT. 7803,53207,WI,3/2/2026
"ALVARADO, FELIX",,,4570 WESTGROVE DR.,SUITE 152,,leakfixers@aol.com,GLOBAL AIRCRAFT SERVICE INC,9722676650,G5KR574Y,ADDISON,UNITED STATES,,G5KR,leakfixers@aol.com,"ALVARADO, FELIX",kfelixglobal@aol.com,9722676650,75001,TX,3/2/2026
"ALVAREZ, ALEXANDER",,,5440 N.W. 33RD. AVE SUITE 103,,,,ARIES AVIATION CORP.,,KO4R317M,FORT. LAUDERDALE,UNITED STATES,,KO4R,,"ALVAREZ, ALEXANDER",aalvarez@ariesaviationcorp.com,3055931600 EXT. 305,33309,FL,3/2/2026
"AMANTI, MARK E.",,,"NEW ENGLAND CUSTOM COATERS, INC.",100 SHOEMAKER LANE,,,NEW ENGLAND CUSTOM COATERS INC,,NE7R124J,AGAWAM,UNITED STATES,,NE7R,,"AMANTI, MARK E",mamanti@necci.net,4137865324,01001,MA,3/2/2026
"AMENTO, CHARLES FRANCIS",,,5360 N. W. 20TH TERRACE,,,,BANYAN AIR SERVICES INC,,WD4R618M,FORT LAUDERDALE,UNITED STATES,,WD4R,,"TUTTLE, ROBERT EDWARD",rtuttle@banyanair.com,9543835171,33309,FL,3/2/2026
"AMER, AMR",,,3800 CALLE TECATE,,,,PARKER HANNIFIN CORPORATION STRATOFLEX PRODUCTS DI,8054848533,PQ8R252Y,CAMARILLO,UNITED STATES,,PQ8R,,DARREL LYDEN,dlyden@parker.com,8054197055,93012,CA,3/2/2026
"AMITOELAU, REX",,,392 NORTH SMITH AVENUE,,,,AERO-CRAFT HYDRAULICS INC,,TF3R865L,CORONA,UNITED STATES,,TF3R,,"AMITOELAU, REX",ramitoelau@aero-craft.com,,92878,CA,3/2/2026
"AMMANN, FELIX",,,WERKSTRASSE 2,,,,TP AEROSPACE TECHNICS GMBH,,99XY008D,NORDERSTEDT,GERMANY,,99XY,,CHRISTOPH MATTSCHECK,chm@tpaerospace.com,,23844,,3/2/2026
"ANAYA, FAIBER CAMACHO",,,"DHL DE GUATEMALA, S.A.",10A. AV. 6-75 ZONA 13 AEROPUERTO IN,,,"DHL DE GUATEMALA, S.A.",,QDHY309F,GUATEMALA CITY,GUATEMALA,,QDHY,,MILTON MARIN,milton.marin@dhl.com,,N/A,,3/2/2026
"ANDERS, RON",,,11700 W. AVRA VALLEY ROAD,HANGAR 87,,,"TUCSON AEROSERVICE CENTER, INC",,YXCR399X,MARANA,UNITED STATES,,YXCR,,"ANDERS, RON",ron.anders@tucsonaero.com,5206822999,85653,AZ,3/2/2026
"ANDERSEN, YVES",,,1005 S. WOLF RD.,,,,BOSS AVIATION LLC,,3BNR646B,WHEELING,UNITED STATES,,3BNR,,,,,60090,IL,3/2/2026
"ANDERSON, BRIAN",,,601 ATLANTIS ROAD,,,brian@andersonconnectivity.com,"HUGHES NETWORK SYSTEMS, L.L.C.",3217759260,ACIR962D,MELBOURNE,UNITED STATES,,ACIR,brian@andersonconnectivity.com,MARJORIE MATIENZO,marjorie.matienzo-rivera@hughes.com,4073838344,32904,FL,3/2/2026
"ANDERSON, CRAIG",,,1701 EAST MAIN STREET,,,,G & N AIRCRAFT INC,,MW2R020L,GRIFFITH,UNITED STATES,,MW2R,,"WYMAN, DENNIS",support@gnaircraft.com,2199247110,46319,IN,3/2/2026
"ANDERSON, DAVE",,,4700 JOHN CARRELL ROAD,,,,US AVIATION GROUP LLC,,U9FR750K,DENTON,UNITED STATES,DBA US AVIONICS,U9FR,,DAVE ANDERSON,danderson@usaviation.aero,9403832484 EXT. 450,76207,TX,3/2/2026
"ANDERSON, DENA",,,2701 N. FORUM DRIVE,,,,AIRBUS HELICOPTERS INC,,VY1R575K,GRAND PRAIRIE,UNITED STATES,,VY1R,,DENA ANDERSON,dena.anderson@airbus.com,9726413763,75052,TX,3/2/2026
"ANDERSON, JARED LEE",,,9611 WRIGHT DRIVE,,,jaredanderson@deerhornaviation.com,DEER HORN AVIATION LTD COMPANY,4325619947,L79R116Y,MIDLAND,UNITED STATES,DBA LONE STAR PROPELLER,L79R,jaredanderson@deerhornaviation.com,"ANDERSON, JARED",,4325619111,79706,TX,3/2/2026
"ANDERSON, JEREMY",,,1830 NDSU RESEARCH CIRCLE NORTH,,,,APPAREO SYSTEMS LLC,7013562200,2ASR229B,FARGO,UNITED STATES,,2ASR,,"JEREMY, ANDERSON",,7013562200 EXT. 229,58102,ND,3/2/2026
"ANDERSON, KEITH",,,FACTORY 4,SEAPATRICK ROAD,,neil.taggart@thomsonaero.com,THOMPSON AERO SEATING,+44 28 3833 4000,6TOY336C,BANBRIDGE,UNITED KINGDOM,,6TOY,neil.taggart@thomsonaero.com,"STEWART, EMMA",emma.stewart@thomsonaero.com,,BT32 4PH,NIR,3/2/2026
"ANDERSON, PAUL H.",,,507 N. WOLF ROAD,,,,BERKLEY INTERNATIONAL INC,,B3YR387N,WHEELING,UNITED STATES,,B3YR,,LESLIE HARTIGAN,lharitigan@berkleyintl.com,8472159001,60090,IL,3/2/2026
"ANDERSON, ROBERT",,,91-1259 MIDWAY ROAD,HANGER 111,,,MID PACIFIC AERO SERVICES,8082062254,6MPR921C,KAPOLEI,UNITED STATES,,6MPR,,"ROBERT, ANDERSON",randerson@midpacaero.com,8082062254,96707,HI,3/2/2026
"ANDRASO, DAVE",,,2362 RAILROAD STREET,,,,THERMAL STRUCTURES INC,,TEUR916K,CORONA,UNITED STATES,,TEUR,,"ANDRASO, DAVE",dandraso@thermalstructures.com,9517369911,92878,CA,3/2/2026
"ANDREWS, ERVIN L.",,,1940 INTERNATIONAL WAY,,,iaaela@gmail.com,TETON AVIONICS INC,2085242666,QI5R146N,IDAHO FALLS,UNITED STATES,DBA INTERMOUNTAIN AEROSPACE,QI5R,iaaela@gmail.com,"ANDREWS,  ERVIN",iaaela@gmail.com,2085242666,83402,ID,3/2/2026
"ANTONIAK, PAWEL T.",,,1300 HWY 231 SOUTH,,,,WALTHAM AIRCRAFT CLOCK CORP,,IO4R265M,OZARK,UNITED STATES,DBA PRIME TIME CLOCKS,IO4R,,"ANTONIAK, SANDI S",sandi@walthamclocks.com,3347743678 EXT. 103,36360,AL,3/2/2026
"APPEL, STEFFEN  DR.",,,"ESCHENWEG 11, DAHLEWITZ",,,,ROLLS-ROYCE DEUTSCHLAND LTD AND CO KG,,7B6Y740C,BLANKENFELDE-MAHLOW,GERMANY,,7B6Y,,JENS HOPKEN,jens.hopken@rolls-royce.com,,D-15827,,3/2/2026
"AQUINO, JASON",,,2020 HIBISCUS DRIVE UNIT B,,,,NEW IMAGE AERO INTERIORS CORP,,41CR172D,EDGEWATER,UNITED STATES,DBA NIA INTERIORS,41CR,,JASON AQUINO,niainteriorscorp@gmail.com,3864027273,32141,FL,3/2/2026
"ARAUJO, RICHARD",,,1475 AIRPORT ROAD,,,,NOREAST AVIATION SERVICES,,NCLR674G,NEW BEDFORD,UNITED STATES,,NCLR,,"ARAUJO, RICHARD",cherokee16282@gmail.com,5089961832,02746,MA,3/2/2026
"ARCE, OSCAR ENRIQUE",,,FORT LAUDERDALE EXECUTIVE AIRPORT,1725 NW 51ST PLACE,,,PRESIDENTIAL AVIATION INC,,9PVR416M,FORT LAUDERDALE,UNITED STATES,,9PVR,,"BOODHAI, ANSON",aboodhai@presidential-aviation.com,9546498341,33309,FL,3/2/2026
"ARCHAMBEAULT, JASON A.",,,58 AIRPORT RD.,,,,"GRANITE AIR CENTER, LLC",,SNAR711K,WEST LEBANON,UNITED STATES,,SNAR,,"ARCHAMBEAULT, JASON A.",jarchambeault@graniteair.com,6032986555 EXT. 3296,03784,NH,3/2/2026
"ARCHER, BRYAN ZAK",,,6215 KIRBY LANE,,,bryan.archer@galaxymro.com,"GALAXY AVIATION, INC",4697660420,5GXR127C,FRISCO,UNITED STATES,,5GXR,bryan.archer@galaxymro.com,"ARCHER, BRYAN",bryan.archer@galaxymro.com,4697660420,75035,TX,3/2/2026
"ARIETA, JOHN",,,14950 NW 44TH COURT SUITE 22,,,lajaaviation@gmail.com,"LAJA AVIATION, LLC",9043865031,LAJR483E,OPA-LOCKA,UNITED STATES,,LAJR,lajaaviation@gmail.com,JOHN ARIETA,lajaaviation@gmail.com,9043865031,33054,FL,3/2/2026
"ARISMENDEZ, JOE",,,"1658 S. LITCHFIELD ROAD, HANGAR 18",,,clearfortakeoff@aol.com,GALAXY INTERNATIONAL INC,,G0XR924Y,GOODYEAR,UNITED STATES,,G0XR,clearfortakeoff@aol.com,"ARISMENDEZ, JOE",ja@galaxyinternational.com,6026269518,85338,AZ,3/2/2026
"ARISMENDEZ, JOE",,,"1685 S, LITCHFIELD ROAD",HANGER18,,,"5280 AVIATION SALES, LLC",,7AKR665D,GOODYEAR,UNITED STATES,DBA STELLA AIR,7AKR,,"ARISMENDEZ, JOE",ja@galaxyinternational.com,7207397246,85338,AZ,3/2/2026
"ARISPE, MANUEL ANTHONY",,,10160 DOOLITTLE DRIVE,,,,ARISPE AVIATION LLC,,ANAR333E,MCKINNEY,UNITED STATES,DBA AIRSPEED & ATTITUDE,ANAR,,MANUEL A ARISPE,anthony@airspeedattitude.com,4694816501,75071,TX,3/2/2026
