entity_id,legal_name,dba_name,street,city,state,zip,phone,email,website,cert_no,part145_indicator,certificate_hints,shop_size_class,aircraft_worked_on,airport_proximity_profile,airport_distance_band,nearest_airport_name,nearest_airport_icao,observability_score,observability_score_method,profile_archetype,overall_confidence,identity_ambiguity_flag,provenance_legal_name,provenance_part145,provenance_shop_size_class,provenance_aircraft_worked_on,provenance_airport_proximity_profile,provenance_observability_score,source_refs,selected_source,selected_source_precedence,selected_source_rank,selected_round,cert_validation_status,direct_verification_status,confidence_label,contact_completeness,has_phone,has_email,has_website,manual_review_flag,manual_review_reason,provenance_selected_source,provenance_precedence_rule,outreach_tier
X1IR595Y,"AVEX AVIATION, LLC",,11804 CORPORATE WAY,BROOMFIELD,CO,80021,7203998008,,,X1IR595Y,yes,Cert X1IR595Y; Designator X1IR,medium,unknown,near-airport,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.20,fallback-default-low-no-direct-evidence,general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
VW6R328Y,AVIATION WINDOW SERVICES,,7114 RUSTIC TRAIL,BOULDER,CO,80301,3034442171,tim@aviationwindows.com,https://aviationwindows.com,VW6R328Y,yes,Cert VW6R328Y; Designator VW6R,small,aircraft_windows;transparency_repair;inspection;prebuy_evaluation,near-airport,near-airport,Boulder Municipal Airport,KBDU,0.74,direct:official site + marketplace profile,specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:aviationwindows positioning,direct:aviationwindows capability text,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://aviationwindows.com/; https://marketplace.aviationweek.com/company/aviation-window-services/,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,very_high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
3AXR823B,AVTRONICS INC,,685 CONDOR DRIVE STEVENS FIELD,PAGOSA SPRINGS,CO,81147,,,,3AXR823B,yes,Cert 3AXR823B; Designator 3AXR,unknown,unknown,near-airport,near-airport,Stevens Field,KPSO,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
B4CR228J,BAE SYSTEMS SPACE & MISSION SYSTEMS INC,,9675 WEST 108TH CIRCLE,WESTMINSTER,CO,80021,3035337848,,,B4CR228J,yes,Cert B4CR228J; Designator B4CR,unknown,unknown,near-airport,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.20,fallback-default-low-no-direct-evidence,general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
BX4R092M,BEEGLES AIRCRAFT SERVICE LLC,,635 AIRPORT ROAD,GREELEY,CO,80631,9703539200,info@beeglesair.com,https://www.beeglesaircraft.com,BX4R092M,yes,Cert BX4R092M; Designator BX4R,medium,airframe_class_iii;structural_repairs;powerplant_limited;propellers_limited;landing_gear,on-airport,on-airport,Northern Colorado Regional Airport,KGXY,0.76,direct:official about/facility pages with staffing and ratings,general-mro,0.97,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:beegles about page (21 employees),direct:beegles published ratings/capabilities,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.beeglesaircraft.com/about/; https://www.beeglesaircraft.com/facility/,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,very_high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
J7BD555Y,BODE AVIATION INC,,7935 S. PEORIA ST.,ENGLEWOOD,CO,80112,,,,J7BD555Y,yes,Cert J7BD555Y; Designator J7BD,medium,unknown,near-airport,near-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
NW6R094J,"C7 AEROWERKS, LLC",,1727 AVIATION WAY,COLORADO SPRINGS,CO,80916,7193090430,,,NW6R094J,yes,Cert NW6R094J; Designator NW6R,unknown,unknown,on-airport,on-airport,City of Colorado Springs Municipal Airport,KCOS,0.20,fallback-default-low-no-direct-evidence,general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
3DOR530B,CAE USA INC,,1 WILLIAM WHITE BOULEVARD SUITE 100,PUEBLO,CO,81001,,,,3DOR530B,yes,Cert 3DOR530B; Designator 3DOR,unknown,unknown,near-airport,near-airport,Pueblo Memorial Airport,KPUB,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
DYHR613K,CENTENNIAL AIRCRAFT INTERIORS CORPORATION,,7405 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,3036499296,,,DYHR613K,yes,Cert DYHR613K; Designator DYHR,unknown,cabin-interiors,near-airport,near-airport,Centennial Airport,KAPA,0.30,team-d:OUTPUT.csv(observability_score),specialty,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
5LBR346D,CENTRI-LUBE TECHNOLOGIES LLC,,5212 CESSNA DR.,LOVELAND,CO,80538,9702183758,,,5LBR346D,yes,Cert 5LBR346D; Designator 5LBR,unknown,unknown,on-airport,on-airport,Northern Colorado Regional Airport,KFNL,0.20,fallback-default-low-no-direct-evidence,general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
PN5R125N,CENTURY HELICOPTERS INC,,2001 AIRWAY AVENUE,FORT COLLINS,CO,80524,9704846804,philip.glasgow@centuryhelicopters.com,https://centuryhelicopters.com,PN5R125N,yes,Cert PN5R125N; Designator PN5R,medium,rotorcraft;helicopter_mro;completions;isr_mods,on-airport,on-airport,Northern Colorado Regional Airport,KFNL,0.71,direct:official site + AEA member listing,specialty,0.93,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:centuryhelicopters positioning,direct:rotorcraft/completions cues,team-c:OUTPUT.csv(distance_band),direct:web presence upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://centuryhelicopters.com/; http://aea.net/memberdetails.asp?ID=5435,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
HA6R580N,COLORADO AIRWORKS LLC,,7312 BELL DR.,COLORADO SPRINGS,CO,80920,,,,HA6R580N,yes,Cert HA6R580N; Designator HA6R,unknown,unknown,near-airport,near-airport,City of Colorado Springs Municipal Airport,KCOS,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
CUTR877D,CUTTER AVIATION DENVER CO-APA,,12260 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037999999,,https://cutteraviation.com,CUTR877D,yes,Cert CUTR877D; Designator CUTR,medium,pilatus_pc12;pilatus_pc24;airframe;avionics;interior_refurbishment,on-airport,on-airport,Centennial Airport,KAPA,0.79,direct:official maintenance facility page + third-party OEM service-center listing,specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:cutter denver maintenance page,direct:cutter + Pilatus service-center descriptions,team-c:OUTPUT.csv(distance_band),direct:web signals (strong but local facility scope),FAA-AVINFO-DOWNLOAD-2026-03-07; https://cutteraviation.com/aircraft-service-avionics-support-2/aircraft-maintenance-facility-denver-colorado-apa/; https://www.pilatus-aircraft.com/en/service-centers/cutter-aviation-denver,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,very_high,good,yes,no,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
4JDR353D,D & J AVIATION INC,,1945 AVIATION WAY,COLORADO SPRINGS,CO,80916,7196591017,jim.schwab@djaviation.aero,,4JDR353D,yes,Cert 4JDR353D; Designator 4JDR,medium,unknown,on-airport,on-airport,City of Colorado Springs Municipal Airport,KCOS,0.20,fallback-default-low-no-direct-evidence,general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,good,yes,yes,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
GL6R565N,DENVER HOT AIR REPAIR,DBA A DIVISION OF OF DEKOEVEND ENTERPRISES C.,24201 M-5 RD,SAN LUIS,CO,81152,7207373534,terrysm@earthlink.net,,GL6R565N,yes,Cert GL6R565N; Designator GL6R,unknown,unknown,near-airport,near-airport,San Luis Valley Regional Airport,KALS,0.12,downgraded:no reliable current direct web presence discovered; FAA identity only,specialty,0.60,no,FAA repair station contacts dataset,FAA repair station contacts dataset,downgraded:insufficient direct evidence,downgraded:insufficient direct evidence,team-c:OUTPUT.csv(distance_band),downgraded:minimal observability,FAA-AVINFO-DOWNLOAD-2026-03-07,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,low,good,yes,yes,no,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
GM6R566N,DEPOT AVIONICS INC,,2550 STATE AVENUE,ALAMOSA,CO,81101,7195896777,ashleyv@depotavionics.com,https://depotavionics.com,GM6R566N,yes,Cert GM6R566N; Designator GM6R,small,avionics_installation;avionics_repair;single_engine;piston_twin,near-airport,near-airport,San Luis Valley Regional Airport,KALS,0.73,direct:official site + AEA presence,specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:depotavionics service description,direct:aircraft scope on official site,team-c:OUTPUT.csv(distance_band),direct:web presence upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://depotavionics.com/; https://aea.net/memberdetails.asp?ID=5106,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,very_high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
FMSR378E,DIRECT MX AVIATION LLC,,"8551 AVIATOR LN, STE D.",ENGLEWOOD,CO,80112,,,,FMSR378E,yes,Cert FMSR378E; Designator FMSR,medium,unknown,on-airport,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
6DNR881C,DNT AVIONICS,,2845 AVIATORS WAY,GRAND JUNCTION,CO,81506,9702438890,dntpins_313@yahoo.com,https://www.dntavionics.com,6DNR881C,yes,Cert 6DNR881C; Designator 6DNR,small,avionics;piston_fixed_wing;inspection;transponder,on-airport,on-airport,Grand Junction Regional Airport,KGJT,0.69,direct:official site (cert number + airport location) + social/industry traces,specialty,0.94,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:dnt site organizational detail,direct:dnt service scope text,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.dntavionics.com/; https://www.facebook.com/p/DNT-Avionics-100057356833714/,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
K4LR032E,ELEVATE MRO,DBA ELEVATE MRO,9586 METRO AIRPORT AVENUE HANGAR E,BROOMFIELD,CO,80021,7208001612,sam.sandifer@elevate-mro.com,https://eag.aero/elevate-mro/denver/,K4LR032E,yes,Cert K4LR032E; Designator K4LR,medium,gulfstream;hawker;dassault;bombardier;hondajet;textron;turbine_fixed_wing,on-airport,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.78,direct:official Denver facility pages + brand continuity,full_service_mro,0.96,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:eag/elevate facility pages,direct:retained from prior round + no contradiction,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,FAA-AVINFO-DOWNLOAD-2026-03-07; https://eag.aero/elevate-mro/denver-facility/; https://eag.aero/elevate-mro/contact-elevate-mro/,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,very_high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
FDBR221K,FREEDOM AVIONICS,DBA AERO PROP USA DBA FREEDOM AIR AVIONICS,11905 CORPORATE WAY ROCKY MOUNTAIN METRO AIRPORT,BROOMFIELD,CO,80021,,,,FDBR221K,yes,Cert FDBR221K; Designator FDBR,unknown,avionics-components,near-airport,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.23,team-d:OUTPUT.csv(observability_score),specialty,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
